day;averagePathLength
1;6.5302979278700946
2;7.691415822650329
3;6.4265452919900845
4;7.811188761674137
5;8.196955280685062
6;7.5370495968306255
7;7.5079525594381
8;6.98575094421454
9;8.49184216567333
10;7.760200109183007
11;6.657991091453428
12;8.114184818972568
13;7.420636426899475
14;6.014728475911732
15;6.833701573849879
16;7.259196189342066
17;6.347061608169338
18;6.4624620687071515
19;5.862208732552497
20;8.189122567787276
21;5.961738083374855
22;6.836130083338555
23;6.037689760074331
24;5.623870443699868
25;6.987443789055656
26;7.76367461430575
27;5.24441332459329
28;6.80419422730006
29;6.43785064206458
30;5.865521033819082
