Day,ClusteringCoefficient
1,0.014686642751635367
2,0.0171508250058099
3,0.021969550973212564
4,0.01983536211577196
5,0.019048760033544988
6,0.022706526700136925
7,0.015697104029650084
8,0.013280434328669868
9,0.018668831168831168
10,0.018102029621503018
11,0.020747050089864813
12,0.017808326173553074
13,0.01606569082470546
14,0.01794526693584567
15,0.019364292941627996
16,0.01722181429811094
17,0.01567298528010166
18,0.020433367014707535
19,0.020258863252673044
20,0.01914716492461382
21,0.024894553456812765
22,0.017242794974956892
23,0.024155327931508944
24,0.022858565737051792
25,0.02477189781021898
26,0.01724361467652016
27,0.01818402230573403
28,0.02240487316421896
29,0.01743799085947553
30,0.021445384011855986
