Day,Diameter
1,5
2,6
3,7
4,7
5,6
6,6
7,6
8,5
9,5
10,5
11,6
12,8
13,7
14,8
15,8
16,7
17,5
18,6
19,5
20,5
21,8
22,9
23,5
24,4
25,5
26,5
27,8
28,6
29,6
30,7
Day,Diameter
1,5
2,6
3,7
4,7
5,6
6,6
7,6
8,5
9,5
10,5
11,6
12,8
13,7
14,8
15,8
16,7
17,5
18,6
19,5
20,5
21,8
22,9
23,5
24,4
25,5
26,5
27,8
28,6
29,6
30,7
Day,Diameter
1,5
2,6
3,7
4,7
5,6
6,6
7,6
8,5
9,5
10,5
11,6
12,8
13,7
14,8
15,8
16,7
17,5
18,6
19,5
20,5
21,8
22,9
23,5
24,4
25,5
26,5
27,8
28,6
29,6
30,7
Day,Diameter
1,5
2,6
3,7
4,7
5,6
6,6
7,6
8,5
9,5
10,5
11,6
12,8
13,7
14,8
15,8
16,7
17,5
18,6
19,5
20,5
21,8
22,9
23,5
24,4
25,5
26,5
27,8
28,6
29,6
30,7
Day,Diameter
1,5
2,6
3,7
4,7
5,6
6,6
7,6
8,5
9,5
10,5
11,6
12,8
13,7
14,8
15,8
16,7
17,5
18,6
19,5
20,5
21,8
22,9
23,5
24,4
25,5
26,5
27,8
28,6
29,6
30,7
Day,Diameter
1,5
2,6
3,7
4,7
5,6
6,6
7,6
8,5
9,5
10,5
11,6
12,8
13,7
14,8
15,8
16,7
17,5
18,6
19,5
20,5
21,8
22,9
23,5
24,4
25,5
26,5
27,8
28,6
29,6
30,7
Day,Diameter
1,5
2,6
3,7
4,7
5,6
6,6
7,6
8,5
9,5
10,5
11,6
12,8
13,7
14,8
15,8
16,7
17,5
18,6
19,5
20,5
21,8
22,9
23,5
24,4
25,5
26,5
27,8
28,6
29,6
30,7
Day,Diameter
1,5
2,6
3,7
4,7
5,6
6,6
7,6
8,5
9,5
10,5
11,6
12,8
13,7
14,8
15,8
16,7
17,5
18,6
19,5
20,5
21,8
22,9
23,5
24,4
25,5
26,5
27,8
28,6
29,6
30,7
Day,Diameter
1,5
2,6
3,7
4,7
5,6
6,6
7,6
8,5
9,5
10,5
11,6
12,8
13,7
14,8
15,8
16,7
17,5
18,6
19,5
20,5
21,8
22,9
23,5
24,4
25,5
26,5
27,8
28,6
29,6
30,7
Day,Diameter
1,5
2,6
3,7
4,7
5,6
6,6
7,6
8,5
9,5
10,5
11,6
12,8
13,7
14,8
15,8
16,7
17,5
18,6
19,5
20,5
21,8
22,9
23,5
24,4
25,5
26,5
27,8
28,6
29,6
30,7
