day,nEdges,TotalWeight
1,4784,12183.0
2,4496,10829.0
3,4192,10964.0
4,3883,9631.0
5,4155,11591.0
6,4172,10847.0
7,4314,10742.0
8,4189,10795.0
9,4895,12283.0
10,3910,10888.0
11,3591,8508.0
12,4365,10757.0
13,3881,10414.0
14,3708,9496.0
15,4080,8518.0
16,4497,10410.0
17,3375,8759.0
18,4436,9785.0
19,3877,11333.0
20,3427,7995.0
21,3652,8824.0
22,4035,10547.0
23,3799,10210.0
24,3441,9050.0
25,2701,6025.0
26,2332,5329.0
27,2628,6905.0
28,2731,6618.0
29,2155,4946.0
30,2523,5935.0
