day,averageDegree
1,1.305565556
2,0.362078966
3,1.171438571
4,0.517251379
5,1.321438571
6,1.21876
7,0.490576038
8,0.230779231
9,3.324334324
10,1.10001
11,1.210536316
12,1.636373636
13,1.018528519
14,1.333343333
15,2.037745849
16,2.716991132
17,3.733343333
18,1.50001
19,1.882362941
20,2.081091081
21,2.366676667
22,1.53126
23,1.178581429
24,1.035724286
25,1.466676667
26,1.575767576
27,0.789483684
28,1.87501
29,1.903235806
30,1.066676667
day,averageDegree
1,1.490919091
2,0.962972963
3,0.593230339
4,1.033908305
5,0.50001
6,2.016959153
7,0.898315085
8,0.310354828
9,0.894746842
10,0.490919091
11,0.473694211
12,0.714295714
13,0.309100909
14,2.00001
15,2.58491566
16,2.905670377
17,2.773594906
18,1.823539412
19,0.56001
20,0.782618696
21,0.808520638
22,0.489371702
23,0.363646364
24,0.152183913
25,0.456531739
26,0.565227391
27,0.468095106
28,0.319158936
29,0.041676667
30,0.244454444
day,averageDegree
1,0.62501
2,0.548397097
3,0.323539412
4,0.633343333
5,0.111121111
6,0.268302683
7,0.217401304
8,0.15001
9,0.026325789
10,0.727282727
11,0.238105238
12,0.18751
13,0.333343333
14,0.428581429
15,0.137941034
16,1e-05
17,0.083343333
18,1e-05
19,1e-05
20,1e-05
21,1e-05
22,1e-05
23,1e-05
24,1e-05
25,1e-05
26,1e-05
27,1e-05
28,1e-05
29,0.25001
30,1e-05
day,averageDegree
1,0.666676667
2,0.35001
3,0.603458276
4,0.152552373
5,0.716676667
6,0.65001
7,0.421062632
8,0.49123807
9,0.50878193
10,0.740750741
11,0.981491481
12,1.545464545
13,0.727282727
14,1.763646364
15,0.745464545
16,0.50001
17,1.534893721
18,0.519240769
19,0.692317692
20,0.566047736
21,1.094349623
22,1.346163846
23,1.018877925
24,0.882362941
25,0.365394615
26,0.392166863
27,0.32001
28,0.40001
29,0.148158148
30,0.083343333
day,averageDegree
1,0.27028027
2,0.27028027
3,0.27028027
4,0.707327073
5,0.102574103
6,0.380962381
7,0.365863659
8,0.69048619
9,0.047629048
10,0.243912439
11,0.40001
12,0.142867143
13,0.658546585
14,0.536595366
15,0.10001
16,0.095248095
17,1e-05
18,0.027787778
19,0.034492759
20,1e-05
21,0.230779231
22,1e-05
23,0.571438571
24,0.178581429
25,0.30001
26,0.40001
27,0.137941034
28,0.275872069
29,0.310354828
30,0.310354828
day,averageDegree
1,0.27028027
2,0.27028027
3,0.27028027
4,0.707327073
5,0.102574103
6,0.380962381
7,0.365863659
8,0.69048619
9,0.047629048
10,0.243912439
11,0.40001
12,0.142867143
13,0.658546585
14,0.536595366
15,0.10001
16,0.095248095
17,1e-05
18,0.027787778
19,0.034492759
20,1e-05
21,0.230779231
22,1e-05
23,0.571438571
24,0.178581429
25,0.30001
26,0.40001
27,0.137941034
28,0.275872069
29,0.310354828
30,0.310354828
day,averageDegree
1,1.087729298
2,0.218191818
3,0.472737273
4,0.327282727
5,0.344837586
6,0.315799474
7,0.333343333
8,0.60001
9,0.178581429
10,0.410724286
11,0.321438571
12,0.218191818
13,0.236373636
14,0.148158148
15,0.358500566
16,1.175448596
17,1.607152857
18,0.736852105
19,0.464295714
20,0.436373636
21,0.872737273
22,0.87501
23,0.946438571
24,1.285724286
25,1.127282727
26,0.62501
27,1.283028868
28,1.58491566
29,1.196088431
30,1.183683469
day,averageDegree
1,1.087729298
2,0.218191818
3,0.472737273
4,0.327282727
5,0.344837586
6,0.315799474
7,0.333343333
8,0.60001
9,0.178581429
10,0.410724286
11,0.321438571
12,0.218191818
13,0.236373636
14,0.148158148
15,0.358500566
16,1.175448596
17,1.607152857
18,0.736852105
19,0.464295714
20,0.436373636
21,0.872737273
22,0.87501
23,0.946438571
24,1.285724286
25,1.127282727
26,0.62501
27,1.283028868
28,1.58491566
29,1.196088431
30,1.183683469
day,averageDegree
1,1.305565556
2,0.362078966
3,1.171438571
4,0.517251379
5,1.321438571
6,1.21876
7,0.490576038
8,0.230779231
9,3.324334324
10,1.10001
11,1.210536316
12,1.636373636
13,1.018528519
14,1.333343333
15,2.037745849
16,2.716991132
17,3.733343333
18,1.50001
19,1.882362941
20,2.081091081
21,2.366676667
22,1.53126
23,1.178581429
24,1.035724286
25,1.466676667
26,1.575767576
27,0.789483684
28,1.87501
29,1.903235806
30,1.066676667
